0min,1min,2min,4min,6min,8min,10min,15min,20min,25min,30min,35min,40min,45min,50min,55min,60min
0,0,0,0,0,0,0,3,4,NaN,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,2,NaN,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,NaN,0,3,0,0,0,0,0
0,0,0,0,0,0,0,1,1,NaN,1,0,0,0,0,0,0
0,0,0,0,0,0,0,4,1,NaN,2,0,0,0,0,0,0
0,0,0,0,0,0,2,0,4,NaN,2,0,0,0,2,0,0
0,0,0,0,0,1,0,0,1,NaN,4,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1,NaN,0,1,0,0,0,0,0
0,0,0,0,0,0,1,0,0,NaN,2,0,0,0,0,0,0
0,0,0,0,0,1,0,0,1,NaN,1,0,0,0,0,0,0
0,0,0,0,0,0,0,2,2,NaN,1,6,0,0,0,0,0
0,0,0,0,0,2,1,3,0,NaN,2,4,0,0,0,0,0
0,0,0,0,0,0,0,2,0,NaN,1,0,0,0,0,0,0
0,0,0,0,0,1,0,1,3,NaN,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2,NaN,3,2,0,0,0,0,0
0,0,0,0,0,0,1,1,2,NaN,3,1,0,0,0,0,0
0,0,0,0,0,0,0,1,2,NaN,2,2,0,0,0,0,0
0,0,0,0,0,0,0,1,4,NaN,0,9,0,0,0,0,0
0,0,0,0,0,0,0,0,0,NaN,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,2,NaN,1,4,0,0,0,0,0
0,0,0,0,0,0,0,1,1,NaN,0,1,1,0,0,0,0
0,0,0,0,0,1,0,1,3,NaN,3,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,NaN,2,0,0,0,0,0,0
0,0,0,0,0,0,1,0,3,NaN,2,1,0,0,0,0,0
0,0,0,0,0,0,0,3,3,NaN,1,0,0,0,0,0,0
0,0,0,0,0,0,2,3,0,NaN,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2,NaN,1,0,0,0,0,0,0
0,0,0,0,0,0,0,1,2,NaN,2,0,0,0,0,0,0
0,0,0,0,0,2,0,2,2,NaN,2,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,NaN,1,0,0,0,0,0,0
0,0,0,0,0,0,0,2,1,NaN,0,1,0,0,0,0,0
0,0,0,0,0,0,1,2,2,NaN,2,0,0,0,1,0,0
0,0,0,0,0,0,0,1,3,NaN,2,1,0,0,0,0,0
0,0,0,0,0,3,1,0,3,NaN,0,0,0,0,0,0,0
0,0,0,0,0,1,0,1,0,NaN,0,1,0,0,0,0,0
0,0,0,0,0,1,0,3,2,NaN,3,0,0,1,0,0,0
0,0,0,0,0,0,0,2,0,NaN,3,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,NaN,4,0,0,0,0,0,0
0,0,0,0,0,0,2,1,0,NaN,2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,NaN,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,NaN,3,3,2,0,0,0,0
0,0,0,0,0,0,0,5,3,NaN,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,NaN,3,1,0,0,0,0,0
0,0,0,0,0,0,2,0,2,NaN,2,0,0,0,0,0,0
0,0,0,0,0,0,1,3,0,NaN,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,NaN,2,0,1,0,0,0,0
0,0,0,0,0,0,0,0,1,NaN,1,2,0,0,0,0,0
0,0,0,0,0,0,0,2,0,NaN,1,1,0,0,0,0,0
0,0,0,0,0,0,0,2,2,NaN,3,0,0,0,0,0,0
0,0,0,0,0,0,0,0,3,NaN,1,0,1,0,0,0,0
0,0,0,0,0,0,0,0,1,NaN,4,0,0,0,0,0,0
0,0,0,0,0,0,0,0,3,NaN,0,1,0,0,0,0,0
0,0,0,0,0,0,0,2,0,NaN,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,NaN,3,0,0,0,0,0,0
0,0,0,0,0,1,0,2,4,NaN,1,0,0,0,0,0,0
0,0,0,0,0,3,0,1,0,NaN,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,NaN,2,1,0,0,0,0,0
0,0,0,0,1,0,0,0,0,NaN,2,4,0,0,0,0,0
0,0,0,0,1,0,0,1,1,NaN,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,NaN,5,1,0,0,0,0,0
0,0,0,0,0,0,0,0,2,NaN,2,0,1,0,0,0,0
0,0,0,0,0,0,0,3,0,NaN,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,NaN,0,0,0,NaN,0,0,0
0,0,0,0,0,0,2,0,0,NaN,0,0,0,NaN,0,0,0
0,0,0,0,0,0,1,0,0,NaN,0,0,0,NaN,0,0,0
0,0,0,0,0,0,0,1,2,NaN,0,0,0,NaN,0,0,0
0,0,0,0,0,0,1,0,2,NaN,0,0,0,NaN,0,0,0
0,0,0,NaN,0,0,0,0,2,NaN,1,3,0,NaN,0,0,0
0,0,0,NaN,0,0,0,0,0,NaN,4,0,0,NaN,0,0,0
0,0,0,NaN,0,1,2,1,1,NaN,1,1,1,NaN,0,0,0
0,0,0,NaN,1,0,0,4,2,NaN,4,0,0,NaN,0,0,0
0,0,0,NaN,0,0,0,0,1,NaN,0,0,0,NaN,0,0,0
0,0,0,NaN,0,0,0,0,2,NaN,0,0,1,NaN,0,0,0
0,0,0,NaN,0,0,1,1,2,NaN,1,0,0,NaN,0,0,0
0,0,0,NaN,0,0,0,0,0,NaN,1,0,0,NaN,0,0,0
0,0,0,NaN,0,0,1,1,1,NaN,0,0,0,NaN,0,0,0
0,0,0,NaN,0,0,1,0,3,NaN,0,0,0,NaN,0,0,0
0,0,0,NaN,0,0,0,3,2,NaN,0,0,2,NaN,0,0,0
0,0,0,NaN,0,0,1,3,0,NaN,0,3,0,NaN,0,0,0
0,0,0,NaN,0,1,1,2,0,NaN,1,1,0,NaN,0,0,0
0,0,0,NaN,0,0,1,0,0,NaN,3,0,1,NaN,0,0,0
0,0,0,NaN,1,1,1,1,1,NaN,1,1,0,NaN,0,0,0
0,0,0,NaN,0,0,0,3,1,NaN,0,0,2,NaN,0,0,0
0,0,0,NaN,0,0,0,0,3,NaN,1,0,0,NaN,0,0,0
0,0,0,NaN,1,0,1,0,5,NaN,2,1,0,NaN,0,0,0
0,0,0,NaN,0,0,0,0,0,NaN,0,2,1,NaN,0,0,0
0,0,0,NaN,0,1,0,1,3,NaN,0,0,0,NaN,0,0,0
0,0,0,NaN,0,0,1,0,3,NaN,3,4,0,NaN,0,0,0
0,0,0,NaN,2,0,0,1,1,NaN,0,1,0,NaN,0,0,0
0,0,0,NaN,0,0,0,1,0,NaN,2,0,0,NaN,0,0,0
0,0,0,NaN,0,0,1,2,0,NaN,0,2,0,NaN,0,0,0
0,0,0,NaN,0,0,0,1,0,NaN,1,0,0,NaN,0,0,0
0,0,0,NaN,1,0,0,3,0,NaN,1,0,1,NaN,0,0,0
0,0,0,NaN,0,0,0,0,1,NaN,2,0,0,NaN,0,0,0
0,0,0,NaN,0,0,1,0,0,NaN,1,3,0,NaN,0,0,0
0,0,0,NaN,0,0,2,0,0,NaN,5,0,0,NaN,0,0,0
0,0,0,NaN,0,0,0,0,0,NaN,2,0,1,NaN,0,0,0
0,0,0,NaN,0,0,0,1,2,NaN,2,0,0,NaN,0,0,0
0,0,0,NaN,1,0,0,0,0,NaN,0,0,0,NaN,0,0,0
0,0,0,NaN,0,1,0,1,0,NaN,0,0,0,NaN,0,0,0
0,0,0,NaN,0,0,0,1,4,NaN,1,1,0,NaN,0,0,0
0,0,0,NaN,1,0,0,0,5,NaN,0,6,0,NaN,0,0,0
0,0,0,NaN,0,0,0,1,0,NaN,1,0,0,NaN,0,0,0
0,0,0,NaN,0,0,1,0,6,NaN,0,0,0,NaN,0,1,0
0,0,0,NaN,0,0,0,0,4,NaN,0,0,0,NaN,0,0,0
0,0,0,NaN,0,0,0,1,0,NaN,0,2,0,NaN,0,0,0
0,0,0,NaN,0,0,0,2,4,NaN,0,0,2,NaN,0,0,0
0,0,0,NaN,0,0,0,0,0,NaN,1,4,0,NaN,0,0,0
0,0,0,NaN,0,0,0,1,1,NaN,1,1,0,NaN,0,0,0
0,0,0,NaN,0,0,2,0,1,NaN,1,0,0,NaN,0,0,0
0,0,0,NaN,0,0,0,1,2,NaN,0,1,0,NaN,0,0,0
0,0,0,NaN,0,0,0,0,2,NaN,3,0,0,NaN,0,0,0
0,0,0,NaN,0,0,0,2,2,NaN,0,1,0,NaN,0,0,0
0,0,0,NaN,0,0,1,0,2,NaN,1,2,0,NaN,0,0,0
0,0,0,NaN,0,0,1,1,0,NaN,0,0,0,NaN,0,0,0
0,0,0,NaN,0,0,0,0,3,NaN,0,0,0,NaN,0,0,0
0,0,0,NaN,0,0,1,1,1,NaN,2,0,1,NaN,0,0,0
0,0,0,NaN,0,0,1,1,3,NaN,2,0,0,NaN,0,0,0
0,0,0,NaN,0,0,0,0,2,NaN,3,1,0,NaN,0,0,0
0,0,0,NaN,0,1,0,0,0,NaN,0,0,0,NaN,0,0,0
0,0,0,NaN,0,0,0,0,5,NaN,6,0,0,NaN,0,0,0
0,0,0,NaN,1,1,1,1,2,NaN,1,1,0,NaN,0,0,0
0,0,0,NaN,0,0,1,0,0,NaN,2,0,0,NaN,0,0,1
0,0,0,NaN,0,0,0,1,3,NaN,0,0,1,NaN,0,0,0
0,0,0,NaN,1,0,0,0,0,NaN,0,0,0,NaN,0,0,0
0,0,0,NaN,1,1,0,0,0,NaN,0,0,0,NaN,0,0,0
0,0,0,NaN,0,0,0,1,1,NaN,1,2,1,NaN,0,0,0
0,0,0,NaN,0,0,0,0,0,NaN,2,0,0,NaN,0,0,0
0,0,0,NaN,0,0,0,1,0,NaN,2,0,2,NaN,0,0,0
0,0,0,NaN,0,0,1,0,2,NaN,1,0,0,NaN,0,0,0
0,0,0,NaN,0,0,1,1,1,NaN,2,1,0,NaN,0,0,0
0,0,0,NaN,0,0,1,0,1,NaN,0,0,0,NaN,0,0,0
0,0,0,NaN,0,0,0,2,0,NaN,1,1,0,NaN,0,0,0
0,0,0,NaN,0,1,0,0,2,NaN,0,1,0,NaN,0,0,0
0,0,0,NaN,0,0,0,1,1,NaN,2,1,0,NaN,0,0,0
0,0,0,NaN,0,0,0,2,3,NaN,3,0,0,NaN,0,0,0
0,0,0,NaN,0,0,0,2,0,NaN,1,0,0,NaN,0,0,0
0,0,0,NaN,0,1,0,1,0,NaN,0,3,0,NaN,0,0,0
0,0,0,NaN,1,0,0,2,0,NaN,2,1,0,NaN,0,0,0
0,0,0,NaN,0,1,0,2,3,NaN,0,0,1,NaN,0,0,0
0,0,0,NaN,0,0,0,1,5,NaN,1,1,2,NaN,0,0,0
0,0,0,NaN,0,1,2,0,0,NaN,0,0,0,NaN,0,0,0
0,0,0,NaN,0,0,0,0,0,NaN,2,1,0,NaN,0,0,0
0,0,0,NaN,0,0,0,0,0,NaN,2,0,1,NaN,0,0,0
0,0,0,NaN,0,1,0,0,3,NaN,1,0,0,NaN,0,0,0
0,0,0,NaN,0,0,0,4,1,NaN,3,1,0,NaN,0,0,0
0,0,0,NaN,0,0,0,1,3,NaN,0,1,0,NaN,0,1,0
0,0,0,NaN,0,0,0,1,1,NaN,1,0,0,NaN,0,0,0
0,0,0,NaN,0,0,0,0,2,NaN,2,0,0,NaN,0,0,0
0,0,0,NaN,0,0,0,5,0,NaN,3,1,0,NaN,0,0,0
0,0,0,NaN,0,0,0,2,1,NaN,1,0,0,NaN,0,0,0
0,0,0,NaN,0,1,0,3,0,NaN,0,0,0,NaN,0,0,0
0,0,0,NaN,0,0,1,0,0,NaN,0,0,0,NaN,0,0,0
0,0,0,NaN,0,0,2,3,0,NaN,0,1,1,NaN,0,0,0
0,0,0,NaN,0,1,1,1,3,NaN,0,0,0,NaN,0,0,0
0,0,0,NaN,0,0,0,1,0,NaN,0,1,1,NaN,0,0,0
0,0,0,NaN,0,0,1,0,3,NaN,1,1,0,NaN,0,0,0
0,0,0,NaN,0,0,1,0,1,NaN,0,0,1,NaN,0,0,0
0,0,0,NaN,1,1,0,0,2,NaN,1,0,1,NaN,0,0,0
0,0,0,NaN,0,1,1,2,0,NaN,3,1,1,NaN,0,0,0
0,0,0,NaN,0,0,0,0,2,NaN,0,0,2,NaN,0,1,0
0,0,0,NaN,0,0,0,1,1,NaN,1,0,0,NaN,0,0,0
0,0,0,NaN,0,0,1,1,2,NaN,2,0,0,NaN,0,0,0
0,0,0,NaN,0,0,2,2,1,NaN,1,0,0,NaN,0,0,0
0,0,0,NaN,0,0,0,0,1,NaN,0,1,1,NaN,0,0,0
0,0,0,NaN,0,0,0,2,2,NaN,6,0,0,NaN,0,0,0
0,0,0,NaN,1,NaN,0,0,0,NaN,2,0,0,NaN,0,0,0
0,0,0,NaN,0,NaN,0,1,4,NaN,2,0,1,NaN,0,0,0
0,0,0,NaN,0,NaN,0,0,0,NaN,0,0,0,NaN,0,0,0
0,0,0,NaN,0,NaN,0,1,2,NaN,1,1,0,NaN,0,0,0
0,0,0,NaN,0,NaN,1,0,3,NaN,1,2,1,NaN,0,0,0
0,0,0,NaN,0,NaN,0,2,6,NaN,2,0,0,NaN,0,0,0
0,0,0,NaN,0,NaN,0,0,1,NaN,4,0,0,NaN,0,0,0
0,0,0,NaN,0,NaN,0,0,0,NaN,1,0,1,NaN,0,0,0
0,0,0,NaN,0,NaN,0,2,0,NaN,0,0,0,NaN,0,0,0
0,0,0,NaN,0,NaN,1,0,2,NaN,0,0,0,NaN,0,0,0
0,0,0,NaN,0,NaN,1,0,2,NaN,3,0,0,NaN,0,0,0
0,0,0,NaN,0,NaN,1,0,1,NaN,1,3,0,NaN,0,0,0
0,0,0,NaN,0,NaN,0,1,2,NaN,2,0,0,NaN,0,0,0
0,0,0,NaN,0,NaN,0,0,1,NaN,0,2,0,NaN,0,0,0
0,0,0,NaN,0,NaN,1,1,1,NaN,3,0,0,NaN,0,0,0
0,0,0,NaN,0,NaN,1,2,3,NaN,3,0,0,NaN,0,0,0
0,0,0,NaN,0,NaN,1,2,1,NaN,1,0,0,NaN,0,0,0
0,0,0,NaN,0,NaN,1,0,2,NaN,0,0,0,NaN,0,0,0
0,0,0,NaN,0,NaN,0,3,3,NaN,2,0,0,NaN,0,0,0
0,0,0,NaN,0,NaN,0,1,0,NaN,0,0,0,NaN,0,0,0
0,0,0,NaN,0,NaN,1,1,0,NaN,2,0,0,NaN,0,0,0
0,0,0,NaN,0,NaN,0,1,0,NaN,3,1,0,NaN,0,0,0
0,0,0,NaN,0,NaN,0,0,0,NaN,3,2,0,NaN,0,0,0
0,0,0,NaN,0,NaN,0,3,0,NaN,1,1,0,NaN,0,0,0
0,0,0,NaN,0,NaN,0,1,2,NaN,5,0,1,NaN,0,0,0
0,0,0,NaN,0,NaN,0,0,2,NaN,0,0,1,NaN,0,0,0
0,0,0,NaN,0,NaN,2,2,0,NaN,4,0,0,NaN,0,0,0
0,0,0,NaN,0,NaN,1,2,2,NaN,1,1,0,NaN,0,0,0
0,0,NaN,NaN,0,NaN,0,NaN,3,NaN,0,0,0,NaN,0,0,0
0,0,NaN,NaN,0,NaN,3,NaN,0,NaN,0,0,0,NaN,0,0,0
0,0,NaN,NaN,0,NaN,0,NaN,4,NaN,0,0,0,NaN,0,0,0
0,0,NaN,NaN,0,NaN,1,NaN,2,NaN,2,1,0,NaN,0,0,0
0,0,NaN,NaN,0,NaN,0,NaN,0,NaN,0,0,0,NaN,0,0,0
0,0,NaN,NaN,0,NaN,0,NaN,4,NaN,1,1,1,NaN,0,0,0
0,0,NaN,NaN,0,NaN,0,NaN,2,NaN,0,0,0,NaN,0,0,0
0,0,NaN,NaN,0,NaN,2,NaN,1,NaN,2,0,0,NaN,0,0,0
0,0,NaN,NaN,0,NaN,0,NaN,0,NaN,1,0,0,NaN,0,0,0
0,0,NaN,NaN,0,NaN,0,NaN,0,NaN,0,0,0,NaN,0,0,0
0,0,NaN,NaN,0,NaN,0,NaN,5,NaN,0,0,0,NaN,0,0,0
0,0,NaN,NaN,0,NaN,1,NaN,2,NaN,1,0,0,NaN,0,0,0
0,0,NaN,NaN,0,NaN,3,NaN,2,NaN,2,0,0,NaN,0,0,0
0,0,NaN,NaN,0,NaN,1,NaN,1,NaN,0,0,0,NaN,0,0,0
0,0,NaN,NaN,0,NaN,0,NaN,0,NaN,0,0,0,NaN,0,0,0
0,0,NaN,NaN,0,NaN,0,NaN,0,NaN,0,0,0,NaN,0,0,0
0,0,NaN,NaN,0,NaN,1,NaN,1,NaN,1,0,1,NaN,0,0,0
0,0,NaN,NaN,0,NaN,0,NaN,0,NaN,2,0,0,NaN,0,0,0
0,0,NaN,NaN,0,NaN,0,NaN,0,NaN,1,0,0,NaN,0,0,0
0,0,NaN,NaN,0,NaN,1,NaN,0,NaN,1,0,1,NaN,0,0,0
0,0,NaN,NaN,0,NaN,0,NaN,0,NaN,1,0,0,NaN,0,0,0
0,0,NaN,NaN,0,NaN,0,NaN,0,NaN,0,0,0,NaN,0,0,0
0,0,NaN,NaN,0,NaN,0,NaN,3,NaN,1,0,0,NaN,0,0,0
0,0,NaN,NaN,0,NaN,0,NaN,3,NaN,1,0,0,NaN,0,0,0
0,0,NaN,NaN,0,NaN,0,NaN,4,NaN,0,1,0,NaN,0,0,0
0,0,NaN,NaN,0,NaN,2,NaN,2,NaN,1,0,1,NaN,0,0,0
0,0,NaN,NaN,0,NaN,0,NaN,2,NaN,1,1,0,NaN,0,0,0
0,0,NaN,NaN,0,NaN,0,NaN,0,NaN,0,0,0,NaN,0,0,0
0,0,NaN,NaN,0,NaN,0,NaN,0,NaN,NaN,0,0,NaN,0,0,0
0,0,NaN,NaN,0,NaN,0,NaN,0,NaN,NaN,1,0,NaN,0,0,0
0,0,NaN,NaN,0,NaN,0,NaN,0,NaN,NaN,0,0,NaN,0,0,0
0,0,NaN,NaN,0,NaN,0,NaN,0,NaN,NaN,1,0,NaN,0,0,0
0,0,NaN,NaN,1,NaN,0,NaN,1,NaN,NaN,1,0,NaN,0,0,0
0,0,NaN,NaN,0,NaN,1,NaN,3,NaN,NaN,0,1,NaN,0,0,0
0,0,NaN,NaN,2,NaN,2,NaN,1,NaN,NaN,0,0,NaN,0,0,0
0,0,NaN,NaN,0,NaN,0,NaN,2,NaN,NaN,NaN,0,NaN,0,0,0
0,0,NaN,NaN,0,NaN,0,NaN,1,NaN,NaN,NaN,0,NaN,0,0,0
0,0,NaN,NaN,1,NaN,0,NaN,0,NaN,NaN,NaN,1,NaN,0,0,0
0,0,NaN,NaN,0,NaN,0,NaN,1,NaN,NaN,NaN,0,NaN,0,0,0
0,0,NaN,NaN,0,NaN,0,NaN,3,NaN,NaN,NaN,0,NaN,0,0,0
0,0,NaN,NaN,0,NaN,0,NaN,0,NaN,NaN,NaN,0,NaN,0,0,0
0,0,NaN,NaN,0,NaN,0,NaN,0,NaN,NaN,NaN,0,NaN,0,0,0
0,0,NaN,NaN,0,NaN,1,NaN,2,NaN,NaN,NaN,0,NaN,0,0,0
0,0,NaN,NaN,0,NaN,1,NaN,2,NaN,NaN,NaN,1,NaN,0,0,0
0,0,NaN,NaN,0,NaN,2,NaN,2,NaN,NaN,NaN,0,NaN,0,0,0
0,0,NaN,NaN,0,NaN,0,NaN,0,NaN,NaN,NaN,0,NaN,0,0,0
0,0,NaN,NaN,0,NaN,0,NaN,1,NaN,NaN,NaN,0,NaN,0,0,0
0,0,NaN,NaN,0,NaN,1,NaN,0,NaN,NaN,NaN,0,NaN,0,0,0
0,0,NaN,NaN,0,NaN,0,NaN,1,NaN,NaN,NaN,0,NaN,0,0,0
0,0,NaN,NaN,0,NaN,0,NaN,1,NaN,NaN,NaN,0,NaN,0,0,0
0,0,NaN,NaN,0,NaN,0,NaN,3,NaN,NaN,NaN,0,NaN,0,0,0
0,0,NaN,NaN,1,NaN,0,NaN,0,NaN,NaN,NaN,0,NaN,0,0,0
0,0,NaN,NaN,0,NaN,1,NaN,2,NaN,NaN,NaN,0,NaN,0,0,0
